time,co2_emissions,radiative_forcing,temperature,sea_level_rise,slr_antartic_icesheet,slr_glaciers_small_ice_caps,slr_greeland_icesheet,slr_landwater_storage,slr_thermal_expansion
2185,72.1373668129664,11.201485686096392,5.843413545524189,5.486817731908995,1.4078471636700283,0.36947718028604865,3.118704975775681,0.047470148431865616,0.5433182637453718
2186,71.32244223766459,11.173879553855555,5.8107154801424485,5.5098978310612745,1.4175251687082733,0.36972851950167607,3.1308267957907763,0.04790515904703783,0.5439121880135116
2187,70.50751766236277,11.107374133444543,5.779218571080697,5.532468716297252,1.4271876471576737,0.3699703049137446,3.142691443566215,0.04809012345122376,0.5445291972083954
2188,69.69259308706096,11.015310029870117,5.745642044859133,5.554897042728643,1.4368329306545626,0.37020293552945704,3.1543101586662416,0.048432891901955544,0.5451181259764264
2189,68.87766851175914,10.897613471497385,5.708054632899084,5.57676297847704,1.4464631035182363,0.3704266672906561,3.165675231240135,0.04855442393976021,0.5456435524882537
2190,68.06274393645732,10.752643338570929,5.664948422357692,5.598421722623946,1.4560741195479248,0.3706416839176337,3.1767685012243234,0.04886366728773434,0.5460737506463298
2191,67.17995516434465,10.60795072062247,5.617751840965696,5.619299767923969,1.465667013456274,0.3708481230898714,3.187564305203563,0.048821212866100513,0.5463991133081605
2192,66.29716639223197,10.481181212855,5.569378897710437,5.64017319818217,1.4752367804282591,0.37104618482262325,3.198046020259822,0.049202700877771365,0.5466415117936942
2193,65.4143776201193,10.365775240506123,5.5213642404637895,5.661139269817485,1.4847888856146123,0.371236171053285,3.2082135963633105,0.050073889726485576,0.5468267270597925
2194,64.53158884800662,10.25621104270226,5.474115221342719,5.681063621446804,1.494324476702284,0.37141842445995094,3.2180752656701825,0.05027683351726005,0.5469686210971272
2195,63.64880007589393,10.151638788326151,5.427783985244078,5.700712829804862,1.5038360743531536,0.3715932854916273,3.227641149918264,0.05056753987435715,0.5470747801674604
2196,62.69754217663698,10.101286509407219,5.387048605274888,5.720248430763281,1.5133296418899005,0.37176108329531066,3.236921825521792,0.05105007617059448,0.5471858038856835
2197,61.74628427738003,10.078589589164169,5.3533574151350685,5.7392466350734495,1.522808113513681,0.37192226749571705,3.2459512444697047,0.051213455693235016,0.5473515539011113
2198,60.795026378123076,10.01787986989361,5.3212578675846895,5.7581864542970935,1.5322705632403264,0.3720772960273111,3.254769276950448,0.051516831775885376,0.547552486303123
2199,59.843768478866124,9.932495251177405,5.28746733179262,5.7768951978441025,1.5417209402960643,0.37222644263510385,3.2633872696912274,0.051822823614298706,0.547737721607408
2200,58.89251057960919,9.822366718519133,5.250054350319428,5.795130623413158,1.5511577458189225,0.3723698805516752,3.2718000932822395,0.05193078014824608,0.5478721236120746
2201,57.87209178927494,9.685856617572343,5.207511741696718,5.813378596696416,1.560578522224449,0.3725077317018769,3.2799935088965775,0.05237457779029804,0.547924256083214
2202,56.85167299894069,9.550665355708803,5.1612826465199415,5.830966913946141,1.5699856478645895,0.3726400849237235,3.2879467245394958,0.052509550269119014,0.5478849063492129
2203,55.831254208606445,9.434306428418193,5.114281317168622,5.848451772601358,1.57937373981665,0.37276707176828094,3.2956467800205758,0.05288785007147015,0.5477763309243807
2204,54.8108354182722,9.330213024116256,5.068040304275606,5.865435239955683,1.588746820815064,0.3728888939023247,3.303094988048544,0.053079948727242365,0.5476245884625075
2205,53.79041662793795,9.232848847399222,5.022964721876678,5.882380227456844,1.5981025326228326,0.3730057807190272,3.310299748714354,0.053528363493430674,0.5474438019071988
2206,52.7000502057679,9.141363993445582,4.979205424052964,5.899020066165265,1.6074446700193077,0.3731179595670137,3.31727102357476,0.05394460337738711,0.5472418096267977
2207,51.60968378359785,9.105132654838973,4.941453453116322,5.91536229951653,1.6167718894670677,0.3732256495477465,3.324019103594054,0.054286089688891155,0.5470595672187702
2208,50.5193173614278,9.097443214468607,4.911154712713418,5.931133538465389,1.6260857337474834,0.37332915391223864,3.3305744921709577,0.05419688429416348,0.5469472743405451
2209,49.42895093925775,9.052606194813407,4.8828511456471615,5.947085187671006,1.635385967856456,0.37342878169081695,3.3369727858467177,0.05441204976440245,0.5468856025126124
2210,48.3385845170877,8.98395936903205,4.853256607365424,5.9629175068982745,1.6446784160239587,0.3735247131445189,3.3432248946775873,0.054665605082070155,0.5468238779701403
2211,47.17737767820387,8.891427176290536,4.820436974162949,5.978622901867816,1.6539608160507298,0.37361705803145373,3.3493274186365793,0.054990437594587584,0.5467271715544652
2212,46.01617083932003,8.773538044313256,4.782898692175289,5.993763338515623,1.663232596609304,0.3737058899260411,3.3552689863546385,0.0549914943850622,0.5465643712405769
2213,44.8549640004362,8.657833325301164,4.742081959304293,6.008937449730219,1.6724898874465262,0.37379125922507805,3.3610325105615386,0.05529721543068224,0.5463265770663938
2214,43.69375716155236,8.561816270409885,4.700895888322666,6.023987040682509,1.6817364686862555,0.37387324595677124,3.3666075838840213,0.05573350586176894,0.5460362362936921
2215,42.532550322668534,8.478904613866609,4.660868428714257,6.038688790642063,1.6909713577348426,0.3739519791247849,3.371996086971982,0.05604978086550068,0.5457195859449535
2216,41.29947623848714,8.403551236923755,4.622400590305429,6.052767813030096,1.700193375750549,0.37402760718239303,3.3772059883637535,0.055949925077771766,0.5453909166556278
2217,40.06640215430574,8.335065945528035,4.585655173943629,6.067305603341523,1.7094010194156855,0.3741002772490754,3.3822465659575727,0.05649939372333091,0.5450583469958581
